#رقم,مشكول,صنف,أصل,جنس,عدد
810,مُضَلَّعٌ,مفعول,ضَلَّعَ,مذكر,مفرد
811,مُضَلَّلٌ,مفعول,ضَلَّلَ,مذكر,مفرد
812,مَضْمُومٌ,مفعول,ضَمَّ,مذكر,مفرد
813,مَضْمُونٌ,مفعول,ضَمِنَ,مذكر,مفرد
814,مَضَامِينُ,مفعول,ضَمِنَ,,جمع
815,مُطَارَدٌ,مفعول,طَارَدَ,مذكر,مفرد
816,مَطُوفٌ,مفعول,طَافَ,مذكر,مفرد
817,مُطَالَبٌ,مفعول,طَالَبَ,مذكر,مفرد
818,مَطْبُوخٌ,مفعول,طَبَخَ,مذكر,مفرد
819,مَطْبُوعٌ,مفعول,طَبَعَ,مذكر,مفرد
820,مُطَبَّقٌ,مفعول,طَبَّقَ,مذكر,مفرد
821,مُطَحْلَبٌ,مفعول,طَحْلَبَ,مذكر,مفرد
822,مَطْحُونٌ,مفعول,طَحَنَ,مذكر,مفرد
823,مَطْرُوحٌ,مفعول,طَرَحَ,مذكر,مفرد
824,مَطْرُودٌ,مفعول,طَرَدَ,مذكر,مفرد
825,مُطَرَّزٌ,مفعول,طَرَّزَ,مذكر,مفرد
826,مَطْرُوفٌ,مفعول,طَرَفَ,مذكر,مفرد
827,مَطْرُوقٌ,مفعول,طَرَقَ,مذكر,مفرد
828,مُطَعَّمٌ,مفعول,طَعَّمَ,مذكر,مفرد
829,مَطْعُونٌ,مفعول,طَعَنَ,مذكر,مفرد
830,مَطْلُوبٌ,مفعول,طَلَبَ,مذكر,مفرد
831,مُطَلَّقٌ,مفعول,طَلَّقَ,مذكر,مفرد
832,مَطْمُوسٌ,مفعول,طَمَسَ,مذكر,مفرد
833,مُطَهَّرٌ,مفعول,طَهَّرَ,مذكر,مفرد
834,مُطَهَّمٌ,مفعول,طَهَّمَ,مذكر,مفرد
835,مُطَوَّقٌ,مفعول,طَوَّقَ,مذكر,مفرد
836,مُطَوَّلٌ,مفعول,طَوَّلَ,مذكر,مفرد
837,مَطْوِيٌّ,مفعول,طَوَى,مذكر,مفرد
838,مَظْرُوفٌ,مفعول,ظَرَفَ,مذكر,مفرد
839,مُظَفَّرٌ,مفعول,ظَفَّرَ,مذكر,مفرد
840,مَظْلُومٌ,مفعول,ظَلَمَ,مذكر,مفرد
841,مَعِيبٌ,مفعول,عَابَ,مذكر,مفرد
842,مُعَافَى,مفعول,عَافَى,مذكر,مفرد
843,مُعاَفاة,مفعول,عَافَى,مؤنث,مفرد
844,مُعَاقَبٌ,مفعول,عَاقَبَ,مذكر,مفرد
845,مُعَالَجٌ,مفعول,عَالَجَ,مذكر,مفرد
846,مَعْبُودٌ,مفعول,عَبَدَ,مذكر,مفرد
847,مُعَبَّرٌ,مفعول,عَبَّرَ,مذكر,مفرد
848,مُعَتَّقَةٌ,مفعول,عَتَّقَ,مؤنث,مفرد
849,مُعَجَّلٌ,مفعول,عَجَّلَ,مذكر,مفرد
850,مَعْجُونٌ,مفعول,عَجَنَ,مذكر,مفرد
851,مَعَاجِينُ,مفعول,عَجَنَ,,جمع
852,مَعْدُودٌ,مفعول,عَدَّ,مذكر,مفرد
853,مُعَدَّلٌ,مفعول,عَدَّلَ,مذكر,مفرد
854,مَعْدُومٌ,مفعول,عَدَمَ,مذكر,مفرد
855,مُعَذَّبٌ,مفعول,عَذَّبَ,مذكر,مفرد
856,مَعْذُورٌ,مفعول,عَذَرَ,مذكر,مفرد
857,مُعَرَّبٌ,مفعول,عَرَّبَ,مذكر,مفرد
858,مُعَرَّضٌ,مفعول,عَرَّضَ,مذكر,مفرد
859,مَعْرُوضٌ,مفعول,عَرَضَ,مذكر,مفرد
860,مَعْرُوفٌ,مفعول,عَرَفَ,مذكر,مفرد
861,مُعَرَّفٌ,مفعول,عَرَّفَ,مذكر,مفرد
862,مُعَرْقَلٌ,مفعول,عَرْقَلَ,مذكر,مفرد
863,مُعَرَّى,مفعول,عَرَّى,مذكر,مفرد
864,مُعَرّاة,مفعول,عَرَّى,مؤنث,مفرد
865,مُعَزَّزٌ,مفعول,عَزَّزَ,مذكر,مفرد
866,مَعْزُولٌ,مفعول,عَزَلَ,مذكر,مفرد
867,معازيل,مفعول,عَزَلَ,,جمع
868,مُعَسْكَرٌ,مفعول,عَسْكَرَ,مذكر,مفرد
869,مُعَسَّلٌ,مفعول,عَسَّلَ,مذكر,مفرد
870,مَعْسُولٌ,مفعول,عَسَلَ,مذكر,مفرد
871,مُعَشَّرٌ,مفعول,عَشَّرَ,مذكر,مفرد
872,مُعَصَّبٌ,مفعول,عَصَّبَ,مذكر,مفرد
873,مَعْصُوبٌ,مفعول,عَصَبَ,مذكر,مفرد
874,مُعَصَّرٌ,مفعول,عَصَّرَ,مذكر,مفرد
875,مَعْصُومٌ,مفعول,عَصَمَ,مذكر,مفرد
876,مَعْطُوبٌ,مفعول,عَطَبَ,مذكر,مفرد
877,مُعَطَّرٌ,مفعول,عَطَّرَ,مذكر,مفرد
878,مُعَطَّلٌ,مفعول,عَطَّلَ,مذكر,مفرد
879,مُعَظَّمٌ,مفعول,عَظَّمَ,مذكر,مفرد
880,مَعْفُوٌّ,مفعول,عَفَا,مذكر,مفرد
881,مُعَفَّرٌ,مفعول,عَفَّرَ,مذكر,مفرد
882,مُعَفَّنٌ,مفعول,عَفَّنَ,مذكر,مفرد
883,مُعَقَّبٌ,مفعول,عَقَّبَ,مذكر,مفرد
884,مُعَقَّدٌ,مفعول,عَقَّدَ,مذكر,مفرد
885,مَعْقُودٌ,مفعول,عَقَدَ,مذكر,مفرد
886,مَعْقُوفٌ,مفعول,عَقَفَ,مذكر,مفرد
