#رقم,مشكول,صنف,أصل,جنس,عدد
148,رُجَاةٌ,فاعل,,,جمع
149,رَوَاجِي,فاعل,,,جمع
6103,مُرْحِبٌ,فاعل,أَرْحَبَ,مذكر,مفرد
1865,رَاحِلٌ,فاعل,رَحَلَ,مذكر,مفرد
1866,رُحَّلٌ,فاعل,,,جمع
1867,رُحََّالٌ,فاعل,,,جمع
1868,رَوَاحِلٌ,فاعل,,,جمع
1869,رُدََّاعٌ,فاعل,,,جمع
6094,مُرْتَحِلٌ,فاعل,اِرْتَحَلَ,مذكر,مفرد
1870,رَاحِمٌ,فاعل,رَحِمَ,مذكر,مفرد
1871,رَوَاحِمٌ,فاعل,,,جمع
1872,رُحََّامٌ,فاعل,,,جمع
1873,رَحَمَةٌ,فاعل,,,جمع
5307,مُتَرَاحِمٌ,فاعل,تَرَاحَمَ,مذكر,مفرد
5328,مُتَرَحِّمٌ,فاعل,تَرَحَّمَ,مذكر,مفرد
6196,مُسْتَرْخِصٌ,فاعل,اِسْتَرْخَصَ,مذكر,مفرد
4747,رَاخِفٌ,فاعل,رَخَفَ,مذكر,مفرد
4748,رَاخِمٌ,فاعل,رَخَمَ,مذكر,مفرد
6104,مُرْخِمٌ,فاعل,أَرْخَمَ,مذكر,مفرد
998,مُتَرَاخِي,فاعل,تَرَاخَى,مذكر,مفرد
1874,رَاخِي,فاعل,رَخَا,مذكر,مفرد
1875,رَوَاخِي,فاعل,,,جمع
6197,مُسْتَرِدٌّ,فاعل,اِسْتَرْدَّ,مذكر,مفرد
4749,رَادِحٌ,فاعل,رَدَحَ,مذكر,مفرد
315,مُرْتَدٌّ,فاعل,اِرْتَدَّ,مذكر,مفرد
1005,مُتَرَدِّدٌ,فاعل,تَرَدَّدَ,مذكر,مفرد
1876,مُرَدِّدٌ,فاعل,رَدَّدَ,مذكر,مفرد
1877,رَادِعٌ,فاعل,رَدَعَ,مذكر,مفرد
1878,رَوَادِعُ,فاعل,,,جمع
6095,مُرْتَدِعٌ,فاعل,اِرْتَدَعَ,مذكر,مفرد
6105,مُرَدِّعٌ,فاعل,رَدَّعَ,مذكر,مفرد
999,مُتَرَادِفٌ,فاعل,تَرَادَفَ,مذكر,مفرد
1812,مُرَادِفٌ,فاعل,رَادَفَ,مذكر,مفرد
4750,رَادِفٌ,فاعل,رَدَفَ,مذكر,مفرد
6106,مُرْدِفٌ,فاعل,أَرْدَفَ,مذكر,مفرد
4751,رَادِمٌ,فاعل,رَدَمَ,مذكر,مفرد
4752,رَاذِلٌ,فاعل,رَذَلَ,مذكر,مفرد
4753,رَازِحٌ,فاعل,رَزَحَ,مذكر,مفرد
316,مُرْتَزِقٌ,فاعل,اِرْتَزَقَ,مذكر,مفرد
4754,رَازِقٌ,فاعل,رَزَقَ,مذكر,مفرد
6198,مُسْتَرْزِقٌ,فاعل,اِسْتَرْزَقَ,مذكر,مفرد
4755,رَازِمٌ,فاعل,رَزَمَ,مذكر,مفرد
4756,رَازِنٌ,فاعل,رَزَنَ,مذكر,مفرد
5329,مُتَرَزِّنٌ,فاعل,تَرَزَّنَ,مذكر,مفرد
1006,مُتَرَسِّبٌ,فاعل,تَرَسَّبَ,مذكر,مفرد
1881,رَاسِبٌ,فاعل,رسَبَ,مذكر,مفرد
1882,رَوَاسِبُ,فاعل,,,جمع
1883,رُسََّابٌ,فاعل,,,جمع
1884,رَسَبَةٌ,فاعل,,,جمع
6107,مُرْسِبٌ,فاعل,أَرْسَبَ,مذكر,مفرد
1885,رَاسِخٌ,فاعل,رَسَخَ,مذكر,مفرد
1886,رَوَاسِخٌ,فاعل,,,جمع
1887,رُسََّاخٌ,فاعل,,,جمع
1888,رَسَخَةٌ,فاعل,,,جمع
5330,مُتَرَسِّخٌ,فاعل,تَرَسَّخَ,مذكر,مفرد
6108,مُرْسِخٌ,فاعل,أَرْسَخَ,مذكر,مفرد
4757,رَاسِفٌ,فاعل,رَسَفَ,مذكر,مفرد
328,مُرْسِلٌ,فاعل,أَرْسَلَ,مذكر,مفرد
370,مُسْتَرْسِلٌ,فاعل,اِسْتَرْسَلَ,مذكر,مفرد
1816,مُرَاسِلٌ,فاعل,رَاسَلَ,مذكر,مفرد
5308,مُتَرَاسِلٌ,فاعل,تَرَاسَلَ,مذكر,مفرد
5331,مُتَرَسِّلٌ,فاعل,تَرَسَّلَ,مذكر,مفرد
1879,رَاسِمٌ,فاعل,رَسَمَ,مذكر,مفرد
1880,رَدَعَةٌ,فاعل,,,جمع
5332,مُتَرَسِّمٌ,فاعل,تَرَسَّمَ,مذكر,مفرد
6096,مُرْتَسِمٌ,فاعل,اِرْتَسَمَ,مذكر,مفرد
4758,رَاسِنٌ,فاعل,رَسَنَ,مذكر,مفرد
1704,رَاسِي,فاعل,,مذكر,مفرد
1705,رَوَاسِي,فاعل,,,جمع
1007,مُتَرَشِّحٌ,فاعل,تَرَشَّحَ,مذكر,مفرد
1896,مُرَشِّحٌ,فاعل,رَشَّحَ,مذكر,مفرد
1897,رَاشِحٌ,فاعل,رَشَحَ,مذكر,مفرد
1898,روَاشِحُ,فاعل,,,جمع
1899,رَوَاشِدُ,فاعل,,,جمع
1900,رُشََّادٌ,فاعل,,,جمع
1901,رَشَدَةٌ,فاعل,,,جمع
329,مُرْشِدٌ,فاعل,أَرْشَدَ,مذكر,مفرد
1889,رَاشِدٌ,فاعل,رَشَدَ,,مفرد
1890,رُسََّامٌ,فاعل,,,جمع
1891,رَوَاسِمٌ,فاعل,,,جمع
1892,رَسَمَةٌ,فاعل,,,جمع
6199,مُسْتَرْشِدٌ,فاعل,اِسْتَرْشَدَ,مذكر,مفرد
5333,مُتَرَشِّشٌ,فاعل,تَرَشَّشَ,مذكر,مفرد
4759,رَاشِفٌ,فاعل,رَشَفَ,مذكر,مفرد
5334,مُتَرَشِّفٌ,فاعل,تَرَشَّفَ,مذكر,مفرد
6097,مُرْتَشِفٌ,فاعل,اِرْتَشَفَ,مذكر,مفرد
4760,رَاشِقٌ,فاعل,رَشَقَ,مذكر,مفرد
5309,مُتَرَاشِقٌ,فاعل,تَرَاشَقَ,مذكر,مفرد
4761,رَاشِمٌ,فاعل,رَشَمَ,مذكر,مفرد
317,مُرْتَشِي,فاعل,اِرْتَشَى,مذكر,مفرد
1893,رَاشِي,فاعل,رَشَا,مذكر,مفرد
1894,رُشَاةٌ,فاعل,,,جمع
1895,رَوَاشِي,فاعل,,,جمع
1008,مُتَرَصِّدٌ,فاعل,تَرَصَّدَ,مذكر,مفرد
1902,رَاصِدٌ,فاعل,رَصَدَ,مذكر,مفرد
1903,رُصََّادٌ,فاعل,,,جمع
1904,رُصَّدٌ,فاعل,,,جمع
1905,رَوَاصِدٌ,فاعل,,,جمع
1906,رَصَدَةٌ,فاعل,,,جمع
5310,مُتَرَاصِدٌ,فاعل,تَرَاصَدَ,مذكر,مفرد
6109,مُرْصِدٌ,فاعل,أَرْصَدَ,مذكر,مفرد
1000,مُتَرَاصٌّ,فاعل,تَرَاصَّ,مذكر,مفرد
6110,مُرَصِّصٌ,فاعل,رَصَّصَ,مذكر,مفرد
4762,رَاصِعٌ,فاعل,رَصَعَ,مذكر,مفرد
5335,مُتَرَصِّعٌ,فاعل,تَرَصَّعَ,مذكر,مفرد
4763,رَاصِفٌ,فاعل,رَصَفَ,مذكر,مفرد
5311,مُتَرَاصِفٌ,فاعل,تَرَاصَفَ,مذكر,مفرد
5336,مُتَرَصِّفٌ,فاعل,تَرَصَّفَ,مذكر,مفرد
4764,رَاصِنٌ,فاعل,رَصَنَ,مذكر,مفرد
4765,رَاضِخٌ,فاعل,رَضَخَ,مذكر,مفرد
330,مُرْضِعٌ,فاعل,أَرْضَعَ,مذكر,مفرد
1907,رَاضِعٌ,فاعل,رَضَعَ,مذكر,مفرد
1908,رُضَّعٌ,فاعل,,,جمع
1909,رَوَاضِعٌ,فاعل,,,جمع
1910,رُضََّاعٌ,فاعل,,,جمع
1911,رَضَعَةٌ,فاعل,,,جمع
6085,مُرَاضِعٌ,فاعل,رَاضَعَ,مذكر,مفرد
4766,رَاضِفٌ,فاعل,رَضَفَ,مذكر,مفرد
6111,مُرَضِّفٌ,فاعل,رَضَّفَ,مذكر,مفرد
146,مُرْضِي,فاعل,,مذكر,مفرد
1912,رَاضِي,فاعل,رَضِيَ,مذكر,مفرد
1913,رُضَاةٌ,فاعل,,,جمع
1914,رَوَاضِي,فاعل,,,جمع
1915,مُرَطِّبٌ,فاعل,رَطَّبَ,مذكر,مفرد
4767,رَاطِبٌ,فاعل,رَطَبَ,مذكر,مفرد
5337,مُتَرَطِّبٌ,فاعل,تَرَطَّبَ,مذكر,مفرد
4768,رَاطِلٌ,فاعل,رَطَلَ,مذكر,مفرد
4769,رَاطِمٌ,فاعل,رَطَمَ,مذكر,مفرد
6098,مُرْتَطِمٌ,فاعل,اِرْتَطَمَ,مذكر,مفرد
318,مُرْتَعِبٌ,فاعل,اِرْتَعَبَ,مذكر,مفرد
321,مُرْعِبٌ,فاعل,أَرْعَبَ,مذكر,مفرد
1916,رَاعِبٌ,فاعل,رَعَبَ,مذكر,مفرد
1917,رَوَاعِبٌ,فاعل,,,جمع
1918,رُعََّابٌ,فاعل,,,جمع
1919,رَوَاغِدٌ,فاعل,,,جمع
1920,رَعَبَةٌ,فاعل,,,جمع
319,مُرْتَعِدٌ,فاعل,اِرْتَعَدَ,مذكر,مفرد
6112,مُرْعِدٌ,فاعل,أَرْعَدَ,مذكر,مفرد
5338,مُتَرَعْرِعٌ,فاعل,تَرَعْرَعَ,مذكر,مفرد
6113,مُرَعْرِعٌ,فاعل,رَعْرَعَ,مذكر,مفرد
320,مُرْتَعِشٌ,فاعل,اِرْتَعَشَ,مذكر,مفرد
4770,رَاعِشٌ,فاعل,رَعَشَ,مذكر,مفرد
6114,مُرْعِشٌ,فاعل,أَرْعَشَ,مذكر,مفرد
1921,رَاعِفٌ,فاعل,رَعَفَ,مذكر,مفرد
1922,رَوَاعِفُ,فاعل,,,جمع
1923,رُعََّافٌ,فاعل,,,جمع
1924,رَعَفَةٌ,فاعل,,,جمع
1925,رَاعِي,فاعل,رَعَى,مذكر,مفرد
1926,رُعَاةٌ,فاعل,,,جمع
1927,رَوَاعِي,فاعل,,,جمع
4771,رَاغِبٌ,فاعل,رَغِبَ,مذكر,مفرد
5312,مُتَرَاغِبٌ,فاعل,تَرَاغَبَ,مذكر,مفرد
6115,مُرَغِّبٌ,فاعل,رَغَّبَ,مذكر,مفرد
1928,رَاغِدٌ,فاعل,رَغَدَ,مذكر,مفرد
1929,رَوَافِعٌ,فاعل,,,جمع
1930,رُغََّادٌ,فاعل,,,جمع
1931,رَغَدَةٌ,فاعل,,,جمع
