#رقم,مشكول,صنف,أصل,جنس,عدد
6133,كَسْرٌ,مصدر,كَسَرَ,مذكر,مفرد
6134,كُسُورٌ,مصدر,كَسَرَ,مؤنث,جمع
6135,كُسُوفٌ,مصدر,كَسَفَ,مذكر,مفرد
6136,كَسَلٌ,مصدر,كَسِلَ,مذكر,مفرد
6137,كَشْحٌ,مصدر,كَشَحَ,مذكر,مفرد
6138,كُشُوحٌ,مصدر,كَشَحَ,مؤنث,جمع
6139,كَشَحٌ,مصدر,كَشِحَ,مذكر,مفرد
6140,تَكْشِيرٌ,مصدر,كَشَّرَ,مذكر,مفرد
6141,تَكْشيفٌ,مصدر,كَشَّفَ,مذكر,مفرد
6142,كَشْفٌ,مصدر,كَشَفَ,مذكر,مفرد
6143,كَظٌّ,مصدر,كَظَّ,مذكر,مفرد
6144,تَكْعيبٌ,مصدر,كَعَّبَ,مذكر,مفرد
6145,كَفٌّ,مصدر,كَفَّ,مذكر,مفرد
6146,أَكُفٌّ,مصدر,كَفَّ,مؤنث,جمع
6147,تَكْفيرٌ,مصدر,كَفَّرَ,مذكر,مفرد
6148,كُفْرَانٌ,مصدر,كَفَرَ,مذكر,مفرد
6149,كَفْرٌ,مصدر,كَفَرَ,مذكر,مفرد
6150,كُفُورٌ,مصدر,كَفَرَ,مؤنث,جمع
6151,كُفْرٌ,مصدر,كَفَرَ,مذكر,مفرد
6152,تَكْفيلٌ,مصدر,كَفَّلَ,مذكر,مفرد
6153,كَفَالَةٌ,مصدر,كَفَلَ,مؤنث,مفرد
6154,تَكْفينٌ,مصدر,كَفَّنَ,مذكر,مفرد
6155,كَفْنٌ,مصدر,كَفَنَ,مذكر,مفرد
6156,أَكْفَانٌ,مصدر,كَفَنَ,مؤنث,جمع
6157,كِفَايَةٌ,مصدر,كَفَى,مؤنث,مفرد
6158,كَلالَةٌ,مصدر,كَلَّ,مؤنث,مفرد
6159,كِلَّةٌ,مصدر,كَلَّ,مؤنث,مفرد
6160,كِلَلٌ,مصدر,كَلَّ,مؤنث,جمع
6161,كَلٌّ,مصدر,كَلَّ,مذكر,مفرد
6162,كَلَبٌ,مصدر,كَلِبَ,مذكر,مفرد
6163,تَكْليسٌ,مصدر,كَلَّسَ,مذكر,مفرد
6164,تَكْليفٌ,مصدر,كَلَّفَ,مذكر,مفرد
6165,تَكالِيفُ,مصدر,كَلَّفَ,مؤنث,جمع
6166,تَكْليلٌ,مصدر,كَلَّلَ,مذكر,مفرد
6167,تَكْليمٌ,مصدر,كَلَّمَ,مذكر,مفرد
6168,تَكْميدٌ,مصدر,كَمَّدَ,مذكر,مفرد
6169,كَمَدٌ,مصدر,كَمِدَ,مذكر,مفرد
6170,تَكْميلٌ,مصدر,كَمَّلَ,مذكر,مفرد
6171,كَمَالٌ,مصدر,كَمُلَ,كَمِلَ,مفرد
6172,كُمُونٌ,مصدر,كَمَنَ,مذكر,مفرد
6173,كُمْنَةٌ,مصدر,كَمِنَ,مؤنث,مفرد
6174,كَنْزٌ,مصدر,كَنَزَ,مذكر,مفرد
6175,كُنُوزٌ,مصدر,كَنَزَ,مؤنث,جمع
6176,تَكْنيسٌ,مصدر,كَنَّسَ,مذكر,مفرد
6177,تَكْنيفٌ,مصدر,كَنَّفَ,مذكر,مفرد
6178,كَنْفٌ,مصدر,كَنَفَ,مذكر,مفرد
6179,تَكْنِيَة,مصدر,كَنَّى,مؤنث,مفرد
6180,كِنَايَةٌ,مصدر,كَنَى,مؤنث,مفرد
6181,كُنْيَةٌ,مصدر,كَنَى,مؤنث,مفرد
6182,كُنىً,مصدر,كَنَى,مؤنث,جمع
6183,كُهُولَةٌ,مصدر,كَهُلَ,مؤنث,مفرد
6184,تَكْويرٌ,مصدر,كَوَّرَ,مذكر,مفرد
6185,كَوَعٌ,مصدر,كَوِعَ,مذكر,مفرد
6186,تَكْويمٌ,مصدر,كَوَّمَ,مذكر,مفرد
6187,تَكْوينٌ,مصدر,كَوَّنَ,مذكر,مفرد
6188,تَكاوِينُ,مصدر,كَوَّنَ,مؤنث,جمع
6189,كَيٌّ,مصدر,كَوَى,مذكر,مفرد
6190,كَآبَةٌ,مصدر,كَئِبَ,مؤنث,مفرد
6191,تَكْيِيسٌ,مصدر,كَيَّسَ,مذكر,مفرد
